Richmond East,Linda Reid,   LIB,11652,1
Richmond East,Gian Sihota,  NDP,6692,0
Richmond East,Michael Anthony Wolfe,    GP,1530,0
Richmond-Steveston,Daniel Stuart Ferguson, DRBC,282,0
Richmond-Steveston,Kay Hale,  NDP,7334,0
Richmond-Steveston,Egidio Spinelli,    GP,1934,0
Richmond-Steveston,John Yap,   LIB,13859,1
Saanich North and the Islands,Ian Douglas Bruce, DRBC,1092,0
Saanich North and the Islands,Murray Robert Coell,   LIB,13781,1
Saanich North and the Islands,Christine Hunt,  NDP,11842,0
Saanich North and the Islands,Ken Rouleau,    GP,4846,0
Saanich South,Susan Mary Brice,   LIB,12380,0
Saanich South,Douglas Christie,  WCC,207,0
Saanich South,David Cubberley,  NDP,12809,1
Saanich South,Brett Hinch, DRBC,223,0
Saanich South,Brandon McIntyre,    GP,2018,0
Saanich South,Kerry Steinemann,   IND,161,0
Shuswap,George Abbott,   LIB,11024,1
Shuswap,Chris Emery,  BCM,356,0
Shuswap,Andrew Nicholas Hokhold, BCPA,42,0
Shuswap,Beryl Ludwig,    CP,2330,0
Shuswap,Paddy Roberts, BLOC,50,0
Shuswap,Barbara Westerman,    GP,1394,0
Shuswap,Calvin Ross White,  NDP,8281,0
Skeena,Robin Austin,  NDP,6166,1
Skeena,Roger Harris,   LIB,5807,0
Skeena,Patrick Hayes,    GP,616,0
Skeena,Daniel Stelmacker, UPBC,224,0
Surrey-Cloverdale,Ted Allen,  NDP,7640,0
Surrey-Cloverdale,Kevin Falcon,   LIB,16429,1
Surrey-Cloverdale,Pierre Rovtar,    GP,2280,0
Surrey-Cloverdale,Joseph Vollhoffer, DRBC,305,0
Surrey-Green Timbers,Amanda Boggan,  BCM,225,0
Surrey-Green Timbers,Ravi Chand, DRBC,142,0
Surrey-Green Timbers,Harjit Singh Daudharia,COMM,52,0
Surrey-Green Timbers,Sue Hammell,  NDP,10836,1
Surrey-Green Timbers,Brenda Locke,   LIB,5619,0
Surrey-Green Timbers,Rob Norberg, EDBC,151,0
Surrey-Green Timbers,Sebastian Sajda,    GP,791,0
Surrey-Newton,Harry Bains, NDP,10741,1
Surrey-Newton,Dan Deresh,   GP,876,0
Surrey-Newton,Jeff Robert Evans, PLAT,72,0
Surrey-Newton,Harry Grewal,DRBC,268,0
Surrey-Newton,Daniel Igali,  LIB,6473,0
Surrey-Newton,Gordon Scott, WLP,123,0
Surrey-Panorama Ridge,Jagrup Brar, NDP,11553,1
Surrey-Panorama Ridge,Troy Allan Chan, BCM,234,0
Surrey-Panorama Ridge,Romeo D. De La Pena,   GP,1370,0
Surrey-Panorama Ridge,Bob Hans,  LIB,8573,0
Surrey-Tynehead,Barry Bell, NDP,9469,0
Surrey-Tynehead,Donald Joseph Briere, BCM,243,0
Surrey-Tynehead,Summer Davis,  IND,380,0
Surrey-Tynehead,Dave Hayer,  LIB,12052,1
Surrey-Tynehead,Gary Alan Hoffman,  IND,223,0
Surrey-Tynehead,Sean Orr,   GP,1095,0
Surrey-Whalley,Elayne Brenzinger,DRBC,607,0
Surrey-Whalley,Melady Belinda Earl, PLAT,50,0
Surrey-Whalley,Neil Gregory Magnuson, BCM,302,0
Surrey-Whalley,Joe Pal,   NA,139,0
Surrey-Whalley,Bruce Ralston, NDP,8903,1
Surrey-Whalley,Barbara Steele,  LIB,4949,0
Surrey-Whalley,Roy Whyte,   GP,1238,0
Surrey-White Rock,Moh Chelali, NDP,7511,0
Surrey-White Rock,Ronald Edward Dunsford,DRBC,87,0
Surrey-White Rock,David James Evans,   CP,1340,0
Surrey-White Rock,Gordon Hogg,  LIB,16462,1
Surrey-White Rock,Ashley Brie Hughes,   GP,3051,0
Vancouver-Burrard,John Clarke, LBN,388,0
Vancouver-Burrard,Antonio Francisco Ferreira, PLAT,27,0
Vancouver-Burrard,John Gordon Ince,  SEX,111,0
Vancouver-Burrard,Janek Patrick John Kuchmistrz,   GP,3698,0
Vancouver-Burrard,Lorne Mayencourt,  LIB,12009,1
Vancouver-Burrard,Ian McLeod,DRBC,82,0
Vancouver-Burrard,Tim Stevenson, NDP,11998,0
Vancouver-Burrard,Lisa Voldeng, WLP,170,0
Vancouver-Fairview,Patrick Gallagher Clark, SEX,121,0
Vancouver-Fairview,Hamdy El-Rayes,  GP,2479,0
Vancouver-Fairview,Virginia Greene, LIB ,12114,0
Vancouver-Fairview,Gregor Robertson,NDP ,13009,1
Vancouver-Fairview,Malcolm Janet Mary van Delst,WLP,95,0
Vancouver-Fairview,Scott Yee, IND,102,0
Vancouver-Fraserview,Shea Campbell,BCM,650,0
Vancouver-Fraserview,Ravinder Gill,NDP,8783,0
Vancouver-Fraserview,Wally Oppal, LIB,9895,1
Vancouver-Fraserview,Doug Perry,  GP,1374,0
Vancouver-Hastings,Denise Brennan,WLP,247,0
Vancouver-Hastings,Ian Gregson,  GP,1928,0
Vancouver-Hastings,Laura McDiarmid, LIB,6910,0
Vancouver-Hastings,Catherine Millard Saadi,PLAT,68,0
Vancouver-Hastings,Will Offley, IND,130,0
Vancouver-Hastings,Stephen Payne,BCM,188,0
Vancouver-Hastings,Shane Simpson,NDP  ,11726,1
Vancouver-Hastings,Carrol Woolsey,  SC,274,0
Vancouver-Kensington,Charles Boylan,  PF,99,0
Vancouver-Kensington,David Chudnovsky,NDP  ,10573,1
Vancouver-Kensington,John Patrick Gordon,BCM,266,0
Vancouver-Kensington,Cody Matheson,  GP,1273,0
Vancouver-Kensington,Patrick Wong, LIB,8949,0
Vancouver-Kingsway,Adrian Dix,NDP  ,10038,1
Vancouver-Kingsway,Steven Mackenzie Lay,BCM,219,0
Vancouver-Kingsway,Stuart Mackinnon,  GP,1212,0
Vancouver-Kingsway,Rob Nijjar, LIB,7894,0
Vancouver-Kingsway,Donna Petersen,  PF,77,0
Vancouver-Kingsway,Yvonne Maylynne Tink, SEX,73,0
Vancouver-Langara,Charles Brunet-Latimer,WLP,152,0
Vancouver-Langara,Christopher De Wilde,LBN,185,0
Vancouver-Langara,Mark Allen Conrad Gueffroy,BCM,214,0
Vancouver-Langara,Anita Romaniuk,NDP,6456,0
Vancouver-Langara,Carole Taylor, LIB ,11181,1
Vancouver-Langara,Doug Warkentin,  GP,1584,0
Vancouver-Mount Pleasant,Juliet Andalis,   LIB,4298,0
Vancouver-Mount Pleasant,Christopher Patrick Bennett,  BCM,308,0
Vancouver-Mount Pleasant,Raven Bowen,    GP,2066,0
Vancouver-Mount Pleasant,Mike Hansen,   IND,205,0
Vancouver-Mount Pleasant,Jenny Kwan,  NDP,12974,1
Vancouver-Mount Pleasant,Peter Marcus,COMM,98,0
Vancouver-Mount Pleasant,Kirk Anton Moses,  PLAT,17,0
Vancouver-Mount Pleasant,Imtiaz Popat, DRBC,43,0
Vancouver-Mount Pleasant,Niki Westman,  WLP,187,0
Vancouver-Point Grey,Gordon Campbell,   LIB,12498,1
Vancouver-Point Grey,Damian Kettlewell,    GP,4111,0
Vancouver-Point Grey,Gudrun Kost,  PLAT,18,0
Vancouver-Point Grey,Mel Lehan,  NDP,10248,0
Vancouver-Point Grey,Jeff Monds,  LBN,44,0
Vancouver-Point Grey,Yolanda Elizabeth Perez,  BCM,138,0
Vancouver-Point Grey,Tom Walker,  WLP,126,0
Vancouver-Quilchena,Katrina Chowne,  LBN,174,0
Vancouver-Quilchena,Lorinda Earl,    GP,2538,0
Vancouver-Quilchena,Colin Hansen,   LIB,16394,1
Vancouver-Quilchena,Jarrah Hodge,  NDP,5131,0
Vancouver-Quilchena,Rhiannon Rose,  BCM,175,0
Victoria-Beacon Hill,Jeff Bray,   LIB,8621,0
Victoria-Beacon Hill,Carole James,  NDP,16081,1
Victoria-Beacon Hill,Ingmar Lee,   IND,123,0
Victoria-Beacon Hill,David McCaig, DRBC,169,0
Victoria-Beacon Hill,Benjamin McConchie,   IND,124,0
Victoria-Beacon Hill,John William Miller,    GP,3077,0
Victoria-Hillside,Steve Filipovic,    GP,2934,0
Victoria-Hillside,Rob Fleming,  NDP,13926,1
Victoria-Hillside,Katrina Jean Herriot,  WLP,167,0
Victoria-Hillside,Jim McDermott, DRBC,363,0
Victoria-Hillside,Sheila Orr,   LIB,7042,0
West Kootenay-Boundary,Barry Edward Chilton,    CP,802,0
West Kootenay-Boundary,Katrine Conroy,  NDP,13318,1
West Kootenay-Boundary,Pam Lewin,   LIB,6180,0
West Kootenay-Boundary,Glen David Millar,    NA,180,0
West Kootenay-Boundary,Donald Pharand,    GP,1561,0
West Kootenay-Boundary,A.J. van Leur, BLOC,59,0
West Vancouver-Capilano,Jodie Joanna Giesz-Ramsay, BCM,147,0
West Vancouver-Capilano,Terry Platt, NDP,3900,0
West Vancouver-Capilano,Ralph Sultan,  LIB,14665,1
West Vancouver-Capilano,Ben West, WLP,122,0
West Vancouver-Capilano,Lee White,  GP,2648,0
West Vancouver-Garibaldi,Lyle Douglas Fenton, NDP,4947,0
West Vancouver-Garibaldi,Joan McIntyre,  LIB,11808,1
West Vancouver-Garibaldi,Dennis Stephen Perry,  GP,6235,0
West Vancouver-Garibaldi,Barbara Ann Reid,   CP,464,0
Yale-Lillooet,Lloyd George Forman,  LIB,6949,0
Yale-Lillooet,Harry Lali, NDP,8432,1
Yale-Lillooet,Mike McLean,  GP,1566,0
Yale-Lillooet,Dorothy-Jean O'Donnell,   PF,112,0
Yale-Lillooet,Arne Jensen Zabell,DRBC,183,0
