Nova Scotia
61
Nova Scotia,,,Linda Power,Linda Power,Nova Scotia New Democratic Party,3924,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Diana Whalen,Diana Whalen,Nova Scotia Liberal Party,5030,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Amanda Hester,Amanda Hester,Green Party of Nova Scotia,172,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Jonathan Dean,Jonathan Dean,Independent,51,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Halifax Fairview,Halifax Fairview,Paul Henderson,Paul Henderson,Progressive Conservative Association of Nova Scotia,893,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Graham Steele,Graham Steele,Nova Scotia New Democratic Party,4680,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Brad Armitage,Brad Armitage,Nova Scotia Liberal Party,1544,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Jane Hester,Jane Hester,Green Party of Nova Scotia,229,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Halifax Needham,Halifax Needham,Jason Cameron,Jason Cameron,Progressive Conservative Association of Nova Scotia,536,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Maureen MacDonald,Maureen MacDonald,Nova Scotia New Democratic Party,5336,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Graham Estabrooks,Graham Estabrooks,Nova Scotia Liberal Party,1690,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Kris MacLellan,Kris MacLellan,Green Party of Nova Scotia,367,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Hammonds Plains-Upper Sackville,Hammonds Plains-Upper Sackville,Barry Barnet,Barry Barnet,Progressive Conservative Association of Nova Scotia,2218,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Mat Whynott,Mat Whynott,Nova Scotia New Democratic Party,4815,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Patrick Doyle,Patrick Doyle,Nova Scotia Liberal Party,2381,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Shawn Redmond,Shawn Redmond,Green Party of Nova Scotia,210,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Hants East,Hants East,Todd Williams,Todd Williams,Progressive Conservative Association of Nova Scotia,1567,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,John MacDonell,John MacDonell,Nova Scotia New Democratic Party,6052,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Maurice Rees,Maurice Rees,Nova Scotia Liberal Party,1467,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Emerich Winkler,Emerich Winkler,Green Party of Nova Scotia,231,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Hants West,Hants West,Chuck Porter,Chuck Porter,Progressive Conservative Association of Nova Scotia,3364,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Barbara Gallagher,Barbara Gallagher,Nova Scotia New Democratic Party,2401,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Paula Lunn,Paula Lunn,Nova Scotia Liberal Party,3065,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Sheila Richardson,Sheila Richardson,Green Party of Nova Scotia,204,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Inverness,Inverness,Rodney MacDonald,Rodney MacDonald,Progressive Conservative Association of Nova Scotia,5402,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Michael MacIsaac,Michael MacIsaac,Nova Scotia New Democratic Party,1971,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Shaun Bennett,Shaun Bennett,Nova Scotia Liberal Party,1905,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Nathalie Arsenault,Nathalie Arsenault,Green Party of Nova Scotia,339,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Kings North,Kings North,Mark Parent,Mark Parent,Progressive Conservative Association of Nova Scotia,3079,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Jim Morton,Jim Morton,Nova Scotia New Democratic Party,3535,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Shirley Fisher,Shirley Fisher,Nova Scotia Liberal Party,1541,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Ward,Ward,Green Party of Nova Scotia,378,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Kings South,Kings South,David Morse,David Morse,Progressive Conservative Association of Nova Scotia,2759,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Ramona Jennex,Ramona Jennex,Nova Scotia New Democratic Party,4038,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Paula Howatt,Paula Howatt,Nova Scotia Liberal Party,2639,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Brendan MacNeill,Brendan MacNeill,Green Party of Nova Scotia,369,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Kings West,Kings West,Chris Palmer,Chris Palmer,Progressive Conservative Association of Nova Scotia,1667,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Carol Tobin,Carol Tobin,Nova Scotia New Democratic Party,1422,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Leo Glavine,Leo Glavine,Nova Scotia Liberal Party,5015,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Nistal Prem de Boer,Nistal Prem de Boer,Green Party of Nova Scotia,149,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Lunenburg,Lunenburg,Peter Zwicker,Peter Zwicker,Progressive Conservative Association of Nova Scotia,2399,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Pam Birdsall,Pam Birdsall,Nova Scotia New Democratic Party,4069,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Rick Welsford,Rick Welsford,Nova Scotia Liberal Party,1374,,,,,,,,,,,,,,,,,,,,,,,,
